ID	Name	DC	Item	Value	Weight	Crafting	Requires	ValueNumber	WeightNumber	Multiplier	Misc	Description
bone-devil	Bone Devil	10	Bone Devil Bone (large bag)	20 gp	40 lb.			20	40	1		The bones of the bone devil are considerably durable and feel more like steel than bone. They can be refashioned into a suite of fire-resistant tools, but due to their origin, not many are willing to use them. 
bone-devil	Bone Devil	15	Bone Devil Skin	150 gp	10 lb.	Devil Vellum		150	10	1		Despite their appearance, a bone devil actually does possess skin; a dessicated sheet that is stretched tight over its bones. While those properties are undesirable in a skin, they make for a perfect sheet of vellum. Indeed, the infamous skin-bound abyssal tomes found in dark libraries are often made using bone devil skin.
bone-devil	Bone Devil	20	Bone Devil Tail	500 gp	40 lb.	Stinger Whip		500	40	1		The stinger of the bone devil's tail is sharp enough to pierce through even the toughest of armour and deliver a potent dose of debilitating venom. With a few modifications, this tail can be adapted into a whip to store and deliver any kind of poison the wielder wishes.
bone-devil	Bone Devil	20	Devil Wings	250 gp	20 lb.	Infernal Wings		250	20	2	 (x2)	The diaphonous but extraordinarily strong wings of the bone devil. Despite their relatively fragile appearance, they are strong enough to hold the considerably heavy bone devil aloft and allow it to fly at high speeds.
chain-devil	Chain Devil	15	Living Chain	150 gp	20 lb.	Iron Bands of Bilarro (DMG) or Chain of Entanglement 		150	20	1		The chains of this devil's namesake occupy a unique space between animate and inanimate. They are bewitched by similar magic to the notorious animated objects that are often found in an abandoned wizard's tower, and thus make excellent material for the crafting of magical items.
chain-devil	Chain Devil	20	Chain Devil Eye	200 gp	1 lb.	Mask of Fear		200	1	2	 (x2)	The gaze of the chain devil is renowned for its unnerving countenance. Those who stare at it for too long swear that they see the faces of those they'd rather forget. With some enchantments and a bit of craftsmanship, the eyes can be inserted into a mask that can strike the same fear into the wearer's enemies.
erinyes	Erinyes	10	Fiendish Poison	220 gp	1 lb.		vial	220	1	1	 (vial)	Although the erinyes is a master warrior whose swordplay is matched by few mortals, they are not above poisoning their weapons to further tip the scales in their favour. Use: Can coat up to 10 pieces of ammunition or 1 melee weapon for 1 hour. Applying the poison takes 1 minute. Any creature successfully hit must succeed a DC 14 Constitution saving throw or suffer 3d8 poison damage and be poisoned. The poison lasts until it is removed by the lesser restoration spell or similar magic.
erinyes	Erinyes	15	Erinyes Heart	400 gp	6 lb.			400	6	1		"It is said that the first erinyeses were fallen angels, corrupted by exposure to the fiendish energies of the Abyss. Whether or not that is true, the heart of an erinyes certainly possesses some degree of corrupting influence itself and can be used as a magical reagent when crafting a cursed weapon. Use: Upon successful creation of a weapon or piece of armour that requires attunement to use, the crafter may use the erinyes heart to perform a ritual that curses the newly made piece of equipment. If they do so, the crafted equipmet carries a random curse from the ""fiendish curses"" table. Performing this ritual destroys the erinyes heart."
erinyes	Erinyes	20	Devil Wings	450 gp	25 lb.	Infernal Wings		450	25	2	 (x2)	The great wings of the erinyes that resemble those of a fiery eagle in flight. Inherently magical and easily repurposed into a pair of infernal wings.
horned-devil	Horned Devil	10	Horned Devil Horn	25 gp	30 lb.	Horn of the Fiendish Voice		25	30	2	 (x2)	The eponymous horns of the horned devil resemble those of an oversized goat. Extremely hard, they make striking trophies when mounted on one's mantle or displayed in a sacrilegious ritual; whichever is more appealing to you.
horned-devil	Horned Devil	15	Horned Devil Blood	45 gp	1 lb.	Potion of Sloth	vial	45	1	5	 (5 vials)	Horned devils are noticebly lazy and sluggish, especially for a creature as motivated as a devil. When their blood is mixed with other soporifics, it creates a tonic that can weaken the motivation of even the most stalwart creature.
horned-devil	Horned Devil	20	Horned Devil Tail	625 gp	15 lb.	Wound Biter Weapon		625	15	1		The tail of the horned devil ends in a vicious barb designed to open wounds and cause a victim to die a slow, painful death. If removed from the horned devil however, the tail can be repurposed into a vicious pike, spear, or whip.
horned-devil	Horned Devil	20	Devil Wings	400 gp	25 lb.	Infernal Wings		400	25	2	 (x2)	As the horned devil serves as the flying soldier for the armies of the Abyss, their wings are particularly strong and make good crafting material.
ice-devil	Ice Devil	15	Ice Devil Blood	80 gp	1 lb.	Potion of Winterbite	vial	80	1	5	 (5 vials)	Ice devils bleed a blue substance that resembles dirty slush. If one melts this blood down and then rethickens it with certain powders, the resulting potion is capable of making the drinker impervious to even the most fierce winter.
ice-devil	Ice Devil	20	Ice Devil Mandible	550 gp	8 lb.	Frostbite Weapon		550	8	2	 (x2)	It is said that being pierced by the mandibles of an ice devil feels like being impaled upon an icicle. As such, it seemed obvious that weaponsmiths would scramble to attach them to sticks and hilts to make weapons that harness the power of pure winter.
ice-devil	Ice Devil	25	Ice Devil Carapace	5,000 gp	80 lb.	Frostbite Armour		5000	80	1		The chitinous shell of the ice devil is colder and harder than an ancient buried ice sheet, and requires patience and a sharp ice pick to harvest in tact. Using a specialised forge, a very skilled blacksmith can reshape this carapace into a suit of armour that can protect the wearer from any form of extreme temperature.
imp	Imp	5	Imp Venom	1 gp	1 lb.		vial	1	1	1	 (vial)	The stinger of an imp can be surprisingly dangerous if one receives a full dose of the venom within. Use: Can coat up to 5 pieces of ammunition or 1 melee weapon for 10 minutes. Applying the poison takes 1 minute. Any creature successfully hit must make a DC 11 Constitution saving throw, taking 3d6 poison damage on a failed save, or half as much damage on a successful one.
imp	Imp	10	Imp Blood	10 gp	1 lb.		vial	10	1	1	 (vial)	Imp blood is as thin and slippery as the devil it came from, but serves as an excellent spell component for lower-tier magic. Use: The next time you cast the find familiar spell, you may consume a vial of imp blood instead of the usual material component of the spell. If you do, your summoned familiar gains the magic resistance trait described in the imp familiar's statblock. Your familiar also shares this trait with you so long as you are within 10 feet of it. Both of these effects last for 1 hour, or until your familiar next disappears or is dismissed.
imp	Imp	15	Imp Head	5 gp	2 lb.	Fiend Censer		5	2	1		"Imps are well known for their constant drone, incessantly gibbering promises of power and corruption to their so called ""masters."" In death however, their tendency to spy and spill secrets can be put to better use. An imp's severed head, along with some choice necromantic rituals and artificing can create a magical censer that alerts its owner to the presence of fiends in the vicinity."
lemure	Lemure	10	Lemure Essence	5 sp	1 lb.			0.5	1	1		The blobbish, fetid body of the lemure is useful for little in both life and in death. Their essence on the other hand is much more useful, as it serves as the currency of the Nine Hells (due to price fluctuations, the value of an individual lemure soul may differ depending on the time of reading). As the lemure technically belongs to the devil who corrupted its original soul in the first place, do beware when harvesting these as there may be a devil who is less than pleased about being robbed.
pit-fiend	Pit Fiend	10	Pit Fiend Blood	160 gp	1 lb.	Potion of Infernal Vitality	vial	160	1	5	 (5 vials)	A pit fiend's blood hisses, boils, and bubbles long after it has been removed from its body, as if the fiend's wrath at its enemies continues even after its death. Cooling this blood and seperating out the plasma can create a potion that grants the drinker the same unholy vitality of its original owner.
pit-fiend	Pit Fiend	10	Pit Fiend Venom	300 gp	1 lb.		vial	300	1	3	 (3 vials)	A pit fiend's venom is one of the most insidious of all the fiends. Besides the horrible pain they inflict on their victim, its corrupting influence even blocks out magical assistance, keeping wounds open and bleeding even in the face of divine help. Use: Can be used to up to 15 pieces of slashing or piercing ammunition or 1 slashing or piercing weapon for 1 hour. Applying takes 1 minute. Any creature successfully hit must succeed on a DC 21 Constitution saving throw or become poisoned. While poisoned in this way, the target can't regain hit points, and it takes 6d6 poison damage at the start of each of its turns. The poisoned target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. 
pit-fiend	Pit Fiend	15	Pit Fiend Claw	1,600 gp	20 lb.	Halberd, +3 (DMG)		1600	20	2	 (x2)	For many hapless adventurers, a pit fiend's claw is the last thing they ever see. If reforged into a weapon however, it may be the last thing your enemies ever see.
pit-fiend	Pit Fiend	20	Devil Wing	2,000 gp	30 lb.	Infernal Wings		2000	30	2	 (x2)	The mighty wings of the pit fiend are among the finest of all the devils. Massive canvases capable of cloaking even the pit fiend's massive frame, they make for the ideal material to craft a pair of infernal wings.
pit-fiend	Pit Fiend	25	Pit Fiend Head	18,000 gp	35 lb.	Helm of Abyssal Domination		18000	35	1		A pit fiend is one of the most terrifying beings in the entire multiverse. As such, it stands to reason that anybody that is wearing the severed head of a pit fiend as a helmet should be considered even more terrifying. Indeed, if one can detach this fiend's head from its body, haul it back to an artificer for reforging, and then wear it proudly despite knowing the retribution that they may face from those that pit fiend considered its ally; that person rightfully deserves to be feared by the lessers around them.
spined-devil	Spined Devil	10	Spine Devil Blood	2 gp	1 lb.	Fiend Fuel	vial	2	1	1	 (vial)	The blood of the spine devil smells faintly of lantern oil and is responsible for the devil's fiery properties. Since the flammable enzymes are diluted in its blood, careful distillation needs to be performed before they can be repurposed into bombs and equipment.
spined-devil	Spined Devil	15	Spined Devil Spine (any the spine devil has remaining) 	1 gp	1 lb.	Fire Arrow or Fire Bolt		1	1	1		The spine devil's eponymous spines carry within them a magical charge that causes them to combust upon impact with their target. Removal thus must be done in a steady and methodical way so as to prevent accidental activation. Once harvested safely however, they may be refletched into arrowheads to make a particularly insidious arrowhead.
allosaurus	Allosaurus	15	Allosaurus Jaw	4 gp	20 lb.	Greataxe, +1 (DMG)		4	20	1		The jaw of the mighty allosaurus, able to bite cleanly through bone and ligament. While it may look crude, this jawbone can be crafted into a greataxe capable of literally biting through an opponent's armour.
allosaurus	Allosaurus	15	Allosaurus Claw	4 gp	10 lb.	Dagger, +1 (DMG)		4	10	1		The claws of the mighty allosaurus, able to rend the skin and flesh of its hapless victim. Excavations of sites have found many examples of ancient cultures that made daggers from these claws, which are still in a surprisingly good condition.
ankylosaurus	Ankylosaurus	10	Ankylosaurus Hide	5 gp	50 lb.	Studded Leather Armour (DMG)		5	50	1		The ankylosaurus is covered with numerous plates that protect it from damage. While difficult, it can be reformed into a set of leather armour that boasts the same protection it did for its last owner.
ankylosaurus	Ankylosaurus	15	Ankylosaurus Tail	12 gp	35 lb.	Any melee bludgeoning weapon, +1 (DMG)		12	35	1		The tail of the ankylosaurus can crush all of a man's bones with a single swing. Knobbed and reinforced, it makes a fine natural weapon.
ankylosaurus	Ankylosaurus	20	Ankylosaurus Skull	48 gp	60 lb.	Dino-Helm		48	60	1		Sturdy and with thick plates to reinforce it, the skull of the ankylosaurus in many ways resembles nature's first attempt at a battle helmet. Bringing this to a blacksmith of some skill can let them show nature a few pointers.
plesiosaurus	Plesiosaurus	15	Plesiosaurus Tooth	1 gp	3 lb.	Arrow, +1 (DMG)		1	3	10	 (x10)	The jaw of the plesiosaurus is lined with dozens of needle-like teeth. Their particular shape lends itself well to making powerful arrow-heads, and many primitive cultures have been discovered with quivers full of them.
pteranodon	Pteranodon	10	Pteranodon Wing	6 sp	17 lb.			0.6	17	2	 (x2)	The wing of the pteranodon resembles an organic canvas stretched over skeletal bone. The canvas itself is quite useful for the creation of small sails and similar equipment, and merchants will pay a decent amount for an intact sample.
pteranodon	Pteranodon	15	Pteranodon Beak	1 gp	7 lb.	Lance (DMG)		1	7	1		The pteranodon's beak in many ways resembles a lance formed of keratin. Evidently, many primitive cultures agree, and seeing a tribe armed with pteranodon lances is not uncommon.
triceratops	Triceratops	15	Triceratops Skull	80 gp	120 lb.	Tri-Horn Shield		80	120	1		The triceratops' distinctive skull featuring a protective bony frill and three horns. If one can survive the beast's charge long enough to harvest this skull, they can craft a shield that allows the wielder to boast the same abilities.
tyrannosaurus-rex	Tyrannosaurus Rex	15	Tyrannosaurus Rex Claw	200 gp	70 lb.	Glaive, +2 (DMG)		200	70	1		Despite their relative diminuitive size, the claw of the T-Rex is as strong and deadly as the rest of it. With a bit of reinforcement, the claw can be forged into a glaive capable of rending even the toughest of armours.
tyrannosaurus-rex	Tyrannosaurus Rex	15	Tyrannosaurus Rex Jawbone	200 gp	100 lb.	Greataxe, +2 (DMG)		200	100	1		The jawbone of the T-Rex, capable of devouring even other dinosaurs. A mighty prize for felling a mighty foe, it can be recrafted into a powerful greataxe.
displacer-beast	Displacer Beast	10	Displacer Beast Tentacle	10 gp	18 lb.	Whip, +1 (DMG)		10	18	2	 (x2)	The prehensile tentacles of a displacer beast, tipped with spiked pads. While it takes the displacer beast's unique musculature to whip them with sufficient strength, they can still serve as strong whips in the hands of anyone else.
displacer-beast	Displacer Beast	15	Displacer Beast Blood	12 gp	1 lb.	Obfuscation Pigments	vial	12	1	5	 (5 vials)	When the black, glittering blood of the displacer beast is dried into a paste and then mixed with magical ashes, pigments, and dusts, the resulting paint gains a strange property. Objects coated with this paint can only be described as elusive, as they pass under the notice of anybody who is not actively looking for them.
displacer-beast	Displacer Beast	20	Displacer Beast Hide	200 gp	25 lb.	Cloak of Displacement (DMG)		200	25	1		The hide of the displacer beast houses most of the magic that allows it to use its signature displacement ability. It is difficult to properly skin this magical creature without ruining the hide, but if done properly, the result can be used as the basis for the ever useful cloak of displacement.
doppelganger	Doppelganger	10	Doppelganger Blood	4 gp	1 lb.		vial	4	1	3	 (3 vials)	The blood of the doppelganger is unnervingly slick and in its natural state carries the same rainbow sheen as a puddle of oil. When it is being held, it changes colour to match the blood of the creature holding it. Use: When you drink a vial of this blood that has had a drop of a humanoid's blood mixed into it, you polymorph into a form identical to that humanoid for the next 1d4 hours. Your statistics, other than your size remain the same in that form. Any equipment you are carrying or wearing is not transformed. You revert to your true form at the end of the duration or if you die.
doppelganger	Doppelganger	15	Doppelganger Face	60 gp	3 lb.	Hat of Disguise (DMG)		60	3	1		"Although the thought may be unpleasent, the skinned face of the doppelganger can provide several uses when used as a mask. Even in death, the doppelganger's face maintains a ""muscle memory"" of the last few identities that it impersonated. With some concentration, someone wearing the face can force it to dredge up this memory and change the wearer's appearance to that identity. Use: While wearing the doppelganger face, a creature may spend 1 minute visualising a humanoid that the doppelganger has shapeshifted into within the past 24 hours. At the end of that minute, the face mask fuses with the wearer, causing their head to shapeshift into a perfect replica of the visualised humanoid along with their voice. Nothing else about the wearer's body changes however. After 24 hours, the mask seperates from the wearer, transforming them back into their regular form. The mask then deteriorates into a useless sheet of skin."
doppelganger	Doppelganger	20	Doppelganger Brain	200 gp	5 lb.	Helm of Telepathy (DMG)		200	5	1		A doppelganger's deception is aided by their low level of telepathic ability. Careful dissection of their brain can yield dark lobes that may be used by an artificer to create a helmet with similar telepathic abilities.
dracolich	Dracolich	10	Dracolich Bone	1,000 gp	20 lb.	Dracolich Censer		1000	20	1		The process that transforms a dragon carcass into a dracolich does more than simply slough off flesh and skin, it also changes the entire nature of the dragon and suffuses it with an unholy energy that marks it even after the dracolich's spirit is driven off once again. If these bones are taken, ground to a dust and then infused in a magical censer, the user can divine the location of the dracolich's spirit gem and put an end to it once and for all.
dragon-shadow	Dragon, Shadow	15	Shadowflame Ember	140 gp	1 lb.	Shadowflame Oil	enchanted vial	140	1	3	 (3 vials)	"After death, a shadow dragon's ""flame"" quickly snuffs itself out, dissolving into the shadows around it. If one is quick however, they can capture an ember in an enchanted vial to be used for later. Requires enchanted vial"
dragon-shadow	Dragon, Shadow	20	Shadow Dragon Scale (large bag) (only harvestable from dragon's that have progressed beyond the wyrmling stage)	1,000 gp	60 lb.	Dusk Armour		1000	60	1		The scales of the shadow dragon are a curious colour that can only be described as the colour of a shadow at dusk. Despite their ethereal appearance however, they maintain their incredible durability and strength. If forged into a suit of armour, it can make even the bulkiest of knights disappear when in darkness.
dragon-shadow	Dragon, Shadow	25	Shadowdragon Wing  (only harvestable from adult and ancient dragons)	1,500 gp	50 lb.	Shadow Wing Cape		1500	50	2	 (x2)	The ever shifting wings of the shadow dragon make it appear more like a dark cloud when it swoops upon its prey. They are more fragile than regular dragon wings and require great care when harvested, however these same special properties make them invaluable when crafting implements of flight and stealth.
ancient-dragon	Ancient Dragon	10	Dragon Flesh	150 gp	30 lb.			150	30	1		Despite common misconception, dragon flesh does not contain any magical benefit. It does however contain many culinary benefits. The exact flavour differs depending on the type of dragon it was taken from, but anybody that has eaten a dragon steak claims that it puts even the most exquisite aged beef to shame. There are many royal cooks and larders that would pay a high sum for just a pound of this delicacy.
ancient-dragon	Ancient Dragon	10	[Type] Dragon Blood	300 gp	1 lb.	Potion of Dragonstrength	vial	300	1	9	 (9 vials)	The blood of an ancient dragon is one of the most powerful spell reagents and potion ingredients in existence. Even besides its use in the birth of half-dragon soldiers and other rituals, the most common use of potent dragon blood is to make a potion that can imbue the drinker with the same strengths as the dragon it was taken from.
ancient-dragon	Ancient Dragon	15	[Type] Dragon Tooth	60 gp	14 lb.	[Type] Dragon Arrow or [Type] Dragon Bolt		60	14	15	 (x15)	The teeth of a full grown ancient dragon have been the end of many a hapless adventurer. Longer than a full grown human's arm, constant exposure to the dragon's breath attack has infused them with a modicum of elemental power. A master fletcher can craft a special set of arrows from these teeth, still carrying their original elemental charge.
ancient-dragon	Ancient Dragon	15	[Type] Dragon Bone	900 gp	20 lb.	Dragon Bone Weapon		900	20	6	 (x6)	The bones of a dragon are as hard and durable as the rest of their body. Not many weaponsmiths know how to reshape dragon bone, and those that do, keep it a guarded secret (most likely to avoid the ire of paranoid dragons). However, there is a good reason that myths and legends of heroes carrying dragonbone weapons abound in every culture: anyone who has seen one will agree that they simply have no equal.
ancient-dragon	Ancient Dragon	15	[Type] Dragon Horn/Spine	1,600 gp	30 lb	[Type] Dragon Wand		1600	30	1		Depending on the type of dragon, a horn or a prominent spine may adorn their head. In either case, the bony protrusion may be sawed off and used as a basis for exceptionally powerful wands and staves.
ancient-dragon	Ancient Dragon	20	[Type] Dragon Scales (large bag)	4,000 gp	45 lb	[Type] Dragon Scale Mail (DMG)		4000	45	1		The notoriously hard scales of an ancient dragon. Harder than steel yet surprisingly light, it is the dream of every armoursmith to craft a suit from this legendary material. Getting them is easier said than done however, as not only must one kill an ancient dragon first, they must also manage to find and safely detach the right scales needeed to interlock into a functioning set of armour.
ancient-dragon	Ancient Dragon	20	[Type] Dragon Breath Pouch	4,000 gp	15 lb.	[Type] Dragon's Wrath		4000	15	1		"When the word ""dragon"" is uttered, people tend to think of three things: wings, scales, and breath. Located at the back of the dragon's throat is a basket sized sack of magical liquids that the dragon naturally produces. While the liquid and their resulting exhalation differ depending on the dragon, they all share the same destructive results. Harvesting one of these without rupturing them is almost as difficult as killing its host in the first place, but the result is a concentrated pouch of destruction. Use: May be thrown up to 15 feet, upon which the pouch explodes. Any target within 15 feet of the explosion must roll a saving throw or suffer the effects of the primary breath weapon that the pouch was harvested from. The saving throw type and DC, the damage type, and the damage amount are identical to the breath weapon of the dragon it was harvested from."
ancient-dragon	Ancient Dragon	20	[Type] Secondary Dragon Breath Pouch (Metallic Dragons only)	4,000 gp	15 lb.	[Type] Dragon's Mercy		4000	15	1		The metallic dragons are considered to be less violent than their chromatic cousins and this is reflected in their alternate breath weapons. While their primary breath weapons mimic those of the chromatics, all metallics dragons wield a secondary, much less harmful breath weapon. This too can be harvested and used for similar purposes as the primary dragon breath pouch. Use: May be thrown up to 15 feet, upon which the pouch explodes. Any target within 15 feet of the explosion must roll a saving throw or suffer the effects of the secondary breath weapon that the pouch was harvested from. The saving throw type, DC, and the effect are identical to the secondary breath weapon of the dragon it was harvested from.
ancient-dragon	Ancient Dragon	25	Dragon Wing	8,000 gp	120 lb.	Cloak of Dragonflight		8000	120	2	 (x2)	The wings of a dragon defy any sense of natural law. Even considering their own immense size, they could not possibly lift a form as massive as the ancient dragon they bear, and yet they do. Only a magical force, inherent in their leathery membranes, could make such flight possible. Cloaks fashioned from these membranes can provide similar propulsion to other creatures, along with providing a stylistic fashion choice.
ancient-dragon	Ancient Dragon	30	Dragon Heart	26,000 gp	65 lb.	Dragon Stone		26000	65	1		Whether they were good or evil, a dragon is a akin to a force of nature and possessing the heart of an ancient dragon is no small matter (even ignoring the fact that it is the size of a large dwarf). Through ancient rituals and careful forging, the heart can be transformed into a crystal that imparts the traits of a dragon onto its wielder; for better or for worse.
adult-dragon	Adult Dragon	10	Dragon Flesh	60 gp	20 lb.			60	20	1		Despite common misconception, dragon flesh does not contain any magical benefit. It does however contain many culinary benefits. The exact flavour differs depending on the type of dragon it was taken from, but anybody that has eaten a dragon steak claims that it puts even the most exquisite aged beef to shame. There are many royal cooks and larders that would pay a high sum for just a pound of this delicacy.
adult-dragon	Adult Dragon	10	[Type] Dragon Blood	250 gp	1 lb.	Potion of Dragonstrength	vial	250	1	7	 (7 vials)	The blood of an adult dragon is not as potent as that of an ancient dragon, but it is still a very powerful spell reagent. The most common use of dragon blood is to make a potion that can imbue the drinker with the same strengths as the dragon it was taken from.
adult-dragon	Adult Dragon	15	[Type] Dragon Tooth	50 gp	12 lb.	[Type] Dragon Arrow or [Type] Dragon Bolt		50	12	10	 (x10)	The teeth of an adult dragon have been the end of many a hapless adventurer. Longer than a full grown dwarf's arm, constant exposure to the dragon's breath attack has infused them with a modicum of elemental power. A master fletcher can craft a special set of arrows from these teeth, still carrying their original elemental charge.
adult-dragon	Adult Dragon	15	[Type] Dragon Bone	750 gp	18 lb.	Dragon Bone Weapon		750	18	6	 (x6)	The bones of a dragon are as hard and durable as the rest of their body. Not many weaponsmiths know how to reshape dragon bone, and those that do, keep it a guarded secret (most likely to avoid the ire of paranoid dragons). However, there is a good reason that myths and legends of heroes carrying dragonbone weapons abound in every culture: anyone who has seen one will agree that they simply have no equal.
adult-dragon	Adult Dragon	15	[Type] Dragon Horn/Spine	1,300 gp	25 lb	[Type] Dragon Wand		1300	25	1		Depending on the type of dragon, a horn or a prominent spine may adorn their head. In either case, the bony protrusion may be sawed off and used as a basis for exceptionally powerful wands and staves.
adult-dragon	Adult Dragon	20	[Type] Dragon Scales (large bag)	3,350 gp	45 lb	[Type] Dragon Scale Mail (DMG)		3350	45	1		The incredibly hard scales of an adult dragon. While not as strong as ancient dragon scales, they are still durable enough to deflect all but the toughest of blows. Getting them is easier said than done however, as not only must one kill an adult dragon first, they must also manage to find and safely detach the right scales needeed to interlock into a functioning set of armour.
adult-dragon	Adult Dragon	20	[Type] Dragon Breath Pouch	3,350 gp	15 lb.	[Type] Dragon's Wrath		3350	15	1		"When the word ""dragon"" is uttered, people tend to think of three things: wings, scales, and breath. Located at the back of the dragon's throat is a basket sized sack of magical liquids that the dragon naturally produces. While the liquid and their resulting exhalation differ depending on the dragon, they all share the same destructive results. Harvesting one of these without rupturing them is almost as difficult as killing its host in the first place, but the result is a concentrated pouch of destruction. Use: May be thrown up to 15 feet, upon which the pouch explodes. Any target within 15 feet of the explosion must roll a saving throw or suffer the effects of the primary breath weapon that the pouch was harvested from. The saving throw type and DC, the damage type, and the damage amount are identical to the breath weapon of the dragon it was harvested from."
adult-dragon	Adult Dragon	20	[Type] Secondary Dragon Breath Pouch (Metallic Dragons only)	3,350 gp	15 lb.	[Type] Dragon's Mercy		3350	15	1		The metallic dragons are considered to be less violent than their chromatic cousins and this is reflected in their alternate breath weapons. While their primary breath weapons mimic those of the chromatics, all metallics dragons wield a secondary, much less harmful breath weapon. This too can be harvested and used for similar purposes as the primary dragon breath pouch. Use: May be thrown up to 15 feet, upon which the pouch explodes. Any target within 15 feet of the explosion must roll a saving throw or suffer the effects of the secondary breath weapon that the pouch was harvested from. The saving throw type, DC, and the effect are identical to the secondary breath weapon of the dragon it was harvested from.
adult-dragon	Adult Dragon	25	Dragon Wing	6,500 gp	80 lb.	Cloak of Dragonflight		6500	80	2	 (x2)	The wings of a dragon defy any sense of natural law. Even considering their own immense size, they could not possibly lift a form as massive as the ancient dragon they bear, and yet they do. Only a magical force, inherent in their leathery membranes, could make such flight possible. Cloaks fashioned from these membranes can provide similar propulsion to other creatures, along with providing a stylistic fashion choice.
young-dragon	Young Dragon	10	Dragon Flesh	30 gp	10 lb.			30	10	1		Despite common misconception, dragon flesh does not contain any magical benefit. It does however contain many culinary benefits. The exact flavour differs depending on the type of dragon it was taken from, but anybody that has eaten a dragon steak claims that it puts even the most exquisite aged beef to shame. There are many royal cooks and larders that would pay a high sum for just a pound of this delicacy.
young-dragon	Young Dragon	10	[Type] Dragon Blood	125 gp	1 lb.	Potion of Dragonstrength	vial	125	1	5	 (5 vials)	The blood of a young dragon has only just matured enough to be used as a spell reagent, but it is still quite useful. The most common use of dragon blood is to make a potion that can imbue the drinker with the same strengths as the dragon it was taken from.
young-dragon	Young Dragon	15	[Type] Dragon Tooth	25 gp	10 lb.	[Type] Dragon Arrow or [Type] Dragon Bolt		25	10	10	 (x10)	The teeth of a young dragon are thinner yet also sharper than that of an adult dragon. Longer than a full grown halfling's arm, constant exposure to the dragon's breath weapon has infused them with a modicum of elemental power. A master fletcher can craft a special set of arrows from these teeth, still carrying their original elemental charge.
young-dragon	Young Dragon	15	[Type] Dragon Bone	375 gp	14 lb.	Dragon Bone Weapon		375	14	6	 (x6)	The bones of a dragon are as hard and durable as the rest of their body. Not many weaponsmiths know how to reshape dragon bone, and those that do, keep it a guarded secret (most likely to avoid the ire of paranoid dragons). However, there is a good reason that myths and legends of heroes carrying dragonbone weapons abound in every culture: anyone who has seen one will agree that they simply have no equal.
young-dragon	Young Dragon	15	[Type] Dragon Horn/Spine	650 gp	20 lb	[Type] Dragon Wand		650	20	1		Depending on the type of dragon, a horn or a prominent spine may adorn their head. In either case, the bony protrusion may be sawed off and used as a basis for exceptionally powerful wands and staves.
young-dragon	Young Dragon	20	[Type] Dragon Scales (large bag)	1,675 gp	45 lb	[Type] Dragon Scale Mail (DMG)		1675	45	1		The scales of a young dragon. Some of these scales are still the supple flexible plates from their wyrmling years, particularly if they have not had many chances to moult. Getting them is easier said than done however, as not only must one kill a dragon first, they must also manage to find and safely detach the right scales needeed to interlock into a functioning set of armour.
young-dragon	Young Dragon	20	[Type] Dragon Breath Pouch	1,675 gp	12 lb.	[Type] Dragon's Wrath		1675	12	1		"When the word ""dragon"" is uttered, people tend to think of three things: wings, scales, and breath. Located at the back of the dragon's throat is a basket sized sack of magical liquids that the dragon naturally produces. While the liquid and their resulting exhalation differ depending on the dragon, they all share the same destructive results. Harvesting one of these without rupturing them is almost as difficult as killing its host in the first place, but the result is a concentrated pouch of destruction. Use: May be thrown up to 15 feet, upon which the pouch explodes. Any target within 15 feet of the explosion must roll a saving throw or suffer the effects of the primary breath weapon that the pouch was harvested from. The saving throw type and DC, the damage type, and the damage amount are identical to the breath weapon of the dragon it was harvested from."
young-dragon	Young Dragon	20	[Type] Secondary Dragon Breath Pouch (Metallic Dragons only)	1,675 gp	12 lb.	[Type] Dragon's Mercy		1675	12	1		The metallic dragons are considered to be less violent than their chromatic cousins and this is reflected in their alternate breath weapons. While their primary breath weapons mimic those of the chromatics, all metallics dragons wield a secondary, much less harmful breath weapon. This too can be harvested and used for similar purposes as the primary dragon breath pouch. Use: May be thrown up to 15 feet, upon which the pouch explodes. Any target within 15 feet of the explosion must roll a saving throw or suffer the effects of the secondary breath weapon that the pouch was harvested from. The saving throw type, DC, and the effect are identical to the secondary breath weapon of the dragon it was harvested from.
young-dragon	Young Dragon	25	Dragon Wing	3,250 gp	60 lb.	Cloak of Dragonflight		3250	60	2	 (x2)	The wings of a dragon defy any sense of natural law. Even considering their own immense size, they could not possibly lift a form as massive as the ancient dragon they bear, and yet they do. Only a magical force, inherent in their leathery membranes, could make such flight possible. Cloaks fashioned from these membranes can provide similar propulsion to other creatures, along with providing a stylistic fashion choice.
wyrmling	Wyrmling	10	Dragon Flesh	3 gp	1 lb.			3	1	1		Despite common misconception, dragon flesh does not contain any magical benefit. It does however contain many culinary benefits. The exact flavour differs depending on the type of dragon it was taken from, but anybody that has eaten a dragon steak claims that it puts even the most exquisite aged beef to shame. There are many royal cooks and larders that would pay a high sum for just a pound of this delicacy.
wyrmling	Wyrmling	10	[Type] Dragon Blood	65 gp	1 lb.	Potion of Dragonstrength	vial	65	1	3	 (3 vials)	The blood of a dragon wyrmling is barely potent enough to be used as a spell reagent, but many find that it's thinner consistency makes for a more potable potion.The most common use of dragon blood is to make a potion that can imbue the drinker with the same strengths as the dragon it was taken from.
