ID	Name	Description
draco-lich-censer	Draco-Lich Censer	Wondrous item, very rare Crafted by: Dracolich Bone x1 (Thaumaturge) This censer has an innate connection with the draco-lich from whom it was crafted. When held by a creature, faint wisps of smoke will emerge and blow in the direction of that draco-lich if that draco-lich is still animate and on the same plane of existence as the holder. The intensity and thickness of the smoke will increase as proximity to the draco-lich decreases. A creature holding this item may also spend 10 minutes focusing on it, after which, a wisp of smoke will emerge and blow in the direction of the draco-lich’s gemstone if it is on the same plane of existence as the censer. Once this ability has been used once, it cannot be used again until the next dawn. 
dragon-arrow	Dragon Arrow	Weapon (arrow), uncommon (+1), rare (+2), or very rare (+3) Crafted by: Young Dragon Tooth x1 (uncommon), or Adult Dragon Tooth x1 (rare), or Ancient Dragon Tooth x1 (very rare) (Blacksmith) You have a bonus to your attack and damage rolls made with this arrow corresponding to its rarity. When you make a successful hit with this arrow, you also deal an additional 1d8 (uncommon) 2d8 (rare), or 3d8 (very rare) damage of the type corresponding to the damage type this arrow was crafted from. You also have advantage on attacks made with this ammunition against any targets with the dragon creature type.When used in a successful attack, there is a 30 per cent chance that this arrow loses all magical properties and becomes a normal arrow.
dragon-bolt	Dragon Bolt	Weapon (bolt), uncommon (+1), rare (+2), or very rare (+3) Crafted by: Young Dragon Tooth x1 (uncommon), or Adult Dragon Tooth x1 (rare), or Ancient Dragon Tooth x1 (very rare) (Blacksmith) You have a bonus to your attack and damage rolls made with this bolt corresponding to its rarity. When you make a successful hit with this bolt, you also deal an additional 1d8 (uncommon) 2d8 (rare), or 3d8 (very rare) damage of the type corresponding to the damage type this bolt was crafted from. You also have advantage on attacks made with this ammunition against any targets with the dragon creature type. When used in a successful attack, there is a 30 per cent chance that this bolt loses all magical properties and becomes a normal bolt.
dragon-stone	Dragon Stone	Wondrous item, rarity varies (requires attunement) Crafted by: Adult Dragon Heart x1 (very rare), or Ancient Dragon Heart x1 (legendary) (Artificer) You may focus on this item for 1 minute while holding it in order to transform into a half-dragon version of yourself. In this form, you retain all your statistics with the following additions: You gain a blindsight with a radius of 10 feet and darkvision with a radius of 60 feet. You gain a resistance to the damage type corresponding to the dragon from whom this item was crafted. You can speak Draconic along with any other languages you already know. You may spend an action to perform the wyrmling breath weapon equivalent of the dragon from whom this item was crafted from (Recharges on a 6).  While in half-dragon form, your personality changes to align with that of your dragon colour. Your half-dragon form lasts for 1 hour or until you either spend 1 minute focusing on the dragon stone again to transform back, you die, or you break your attunement to the dragon stone. Once used, this transformation cannot be used again until the next dawn. If you are attuned to the legendary version of this item, you may engage in deep meditation with the dragon stone for a continuous 24 hours. Once these 24 hours have finished, you transform into your half-dragon form permanently, and the dragon stone crumbles into dust.
dragon-turtle-jelly	Dragon Turtle Jelly	Potion, very rare Crafted by: Dragon Turtle Plastron x1 large pouch (Alchemist) When you drink this jelly-like potion, you recover 10d4+20 hit points and are cured of any disease. 
dragon-wand	Dragon Wand	Wand, rare (+1), very rare (+2), or legendary (+3) Crafted by: Young Dragon Horn/Spine x1 (rare), or Young Dragon Horn/Spine x1 (rare), or Young Dragon Horn/Spine x1 (rare) (requires attunement by a spellcaster) (Artificer) While holding this wand, you gain a bonus to spell attack rolls determined by the wand rarity. In addition, you have advantage on any spell attack roll you make that deals the same damage type as the dragon this wand was crafted from. If that spell attack hits, you also deal extra damage dice of that damage type equal to the spell attack bonus granted by this item. 
dragon-s-mercy	Dragon’s Mercy	Wondrous item, rarity varies Crafted by: Wyrmling Secondary Dragon Breath Pouch x1 (uncommon), or Young Secondary Dragon Breath Pouch x1 (rare), or Adult Secondary Dragon Breath Pouch x1 (rare), or Ancient Secondary Dragon Breath Pouch x1 (legendary) (Alchemist) While holding this item, you may spend an action to squeeze the bag, creating an effect identical to the non-damaging breath weapon of the dragon from whom this item was crafted (refer to the Monster Manual for the exact stats). Once this item has been used once, it cannot be used again for 1d4 hours. 
dragon-s-wrath	Dragon’s Wrath	Wondrous item, rarity varies Crafted by: Wyrmling Dragon Breath Pouch x1 (uncommon), or Young Dragon Breath Pouch x1 (very rare), or Adult Dragon Breath Pouch x1 (rare), or Ancient Dragon Breath Pouch x1 (legendary) (Alchemist) This leathery pouch is repurposed from a dragon’s breath pouch and has had some of its potency reduced in exchange for long term usability. While holding this item, you may spend an action to squeeze the bag, forcing all creatures in a 15-foot (uncommon), 30-foot (rare), 60-foot (very rare) or 90-foot (legendary) cone to roll a DC 12 (uncommon), 15 (rare), DC 18 (very rare), or DC 20 (legendary) Dexterity saving throw, taking 4d6 (uncommon), 8d6 (rare), 12d6 (very rare), or 16d6 (legendary) damage on a failed save, or half that on a successful one. The damage type dealt corresponds to the damage type of the dragon from which this item was crafted. Once this item has been used once, it cannot be used again for 1d4 hours.
dragonbone-weapon	Dragonbone Weapon	Weapon (any melee weapon except for whips and flails), uncommon (+1), rare (+2), or very rare (+3) (requires attunement) (Blacksmith) Crafted by: Young Dragon Bone x1 (uncommon), Adult Dragon Bone x1 (rare), or Ancient Dragon Bone x1 (very rare) (Blacksmith) You have a bonus to your attack and damage rolls made with this weapon corresponding to its rarity. In addition, when you roll a 20 on your attack roll with this weapon, the target takes an additional 3 (uncommon), 7 (rare), or 10 (very rare) damage corresponding to the damage type of the dragon it was harvested from. Attacks made with this weapon have advantage against any target with the dragon creature type.
drag-on-paste	Drag-on Paste	Oil, rare Crafted by: Half-Dragon Scales x1 Small Pouch (Alchemist) You may spend 1 minute applying a dose of this paste to yourself. For the next 24 hours, or until the paste is washed off, you have advantage on any Charisma checks made when interacting with creatures with the dragon subtype, as well as disadvantage on Dexterity (Stealth) checks made to hide from creatures with the dragon subtype. This item has enough paste for 5 doses.
dra-gone-paste	Dra-gone Paste	Oil, rare Crafted by: Half-Dragon Scales x1 Small Pouch (Alchemist) You may spend 1 minute applying a dose of this paste to yourself. For the next 24 hours or until the paste is washed off, you have advantage on any Dexterity (Stealth) checks made to hide from creatures with the dragon subtype as well as disadvantage on any Charisma checks made when interacting with creatures with the dragon subtype. This item has enough paste for 5 doses.
drone-producer	Drone Producer	Wondrous item, rare Crafted by: Chasme Wing x2 (Tinker) This palm sized box is packed with the harvested remains of a chasme’s wings. You may spend an action winding the crank on the side, after which, this item produces a horrid droning sound to which demons are immune. Any creature that starts its turn within 30 feet of this item must succeed on a DC 12 Constitution saving throw or fall unconscious for 10 minutes. A creature that can't hear the drone automatically succeeds on the save. The effect on the creature ends if it takes damage or if another creature takes an action to splash it with holy water. If a creature's saving throw is successful or the effect ends for it, it is immune to this item for the next 24 hours. Every time this item is used, there is a 25 per cent chance that the internal mechanism will break, rendering it useless. 
drow-amulet	Drow Amulet	Wondrous item, rare (requires attunement) Crafted by: Mark of Lolth x1 (Thaumaturge) While you are wearing this amulet, you gain a darkvision out to a range of 120 feet. You may also use the item to cast the dancing lights cantrip, as well as the faerie fire and darkness spells. The two latter spells may only be used once each per long rest. Charisma is your spellcasting ability for all of these spells. 
dusk-armour-1-2-or-3	Dusk Armour, +1, +2, or +3	Armour (plate), rare (+1), very rare (+2) or legendary (+3) (requires attunement) Crafted by: Young Shadow Dragon Scale x1 Large Pouch (+1), or Adult Shadow Dragon Scale x1 Large Pouch (+2), or Ancient Shadow Dragon Scale x1 Large Pouch (+3) (Blacksmith) While wearing this armour, you have a bonus to AC determined by the armour’s rarity. In addition, while wearing this armour in dim light or darkness, you may take the Hide action as a bonus action. If you take the Hide action in this way, you do not suffer the usual penalty that normally applies to Stealth (Dexterity) checks made in plate armour.
eye-stalk-wand	Eye Stalk Wand	Wand, very rare (requires attunement) Crafted by: Beholder Eye Stalk x1 (Artificer) This wand has 5 charges. While holding this wand, you may spend an action and 1 charge to shoot a magical ray of energy at a target within 120 feet of you. The type of ray depends on the type of beholder eye stalk that the wand was crafted from. Consult the list below to find out what your wand does.This wand recovers 1d4 charges at dawn. When you use the last charge of the wand, there is a 10 per cent chance that it crumbles into ashes and is destroyed.
faerie-dragon-dust	Faerie Dragon Dust	Wondrous item, uncommon Crafted by: Faerie Dragon Wing x1 (Alchemist) You may spend an action to sprinkle some of this dust over yourself. If you do so, you magically turn invisible as if under the effect of the invisibility spell (no concentration required). This pouch contains enough dust for three sprinkles.
fear-skull	Fear Skull	Wondrous item, rare (requires attunement) Crafted by: Sea Hag Skull x1 (Artificer) While holding this item, you may cast the fear spell, requiring no other components. Once this ability has been used once, it cannot be used again until the next dawn. Furthermore, anytime a creature within 30 feet of this skull makes a saving throw to avoid the fear condition, they make that save at disadvantage.
fiend-censer	Fiend Censer	Wondrous item, uncommon Crafted by: Imp Head x1 (Thaumaturge) This censer takes the shape of an imp’s head with a groove in the crown of its skull for a candle to be placed in. When a lit candle is placed in the groove, the head becomes animate and begins to magically detect fiends around it in the same manner as if through the spell detect evil and good. If the head detects a fiend within 30 feet of it, it will begin to loudly scream the presence of this fiend as well as where it is located. This head will continue to be active until the candle on its head is either extinguished or removed. If a fiend is aware of the fiend censer when they enter its detection range for the first time, they may make a DC 15 Charisma saving throw to avoid detection by the censer.
fiend-fuel	Fiend Fuel	Wondrous item, uncommon Crafted by: Spine Devil Blood x1 vial (Alchemist) This vial is filled with a concentrated extract of a spine devil’s blood and is highly flammable. As an action you may make a ranged weapon attack to throw this vial at a target within 20 feet, shattering it on impact. Make a ranged attack against the target, treating the vial as an improvised object. On a hit, the target suffers 2d4 fire damage at the start of each of its turns and has disadvantage on any saving throw against an effect that would cause them to suffer fire damage.A creature can end these effects by using its action to make a DC 11 Dexterity check to remove the oil and flames.
fire-arrow	Fire Arrow	Weapon (arrow), uncommon Crafted by: Spine Devil Spine x1 (Blacksmith) These arrows combust upon direct piercing organic material. When you hit a target successfully with this arrow, you deal an additional 1d6 fire damage. These arrows lose this property on hit and become regular arrows afterwards. 
fire-bolt	Fire Bolt	Weapon (bolt), uncommon Crafted by: Spine Devil Spine x1 (Blacksmith) These bolts combust upon direct piercing organic material. When you hit a target successfully with this bolt, you deal an additional 1d6 fire damage. These bolts lose this property on hit and become regular bolts afterwards. 
fire-dagger	Fire Dagger	Weapon (dagger), uncommon Crafted by: Salamander Fang x1 (Blacksmith) This dagger continually radiates a dull heat that intensifies when sunk into exposed flesh. When you deal damage with this weapon, you may choose for the damage type to be either piercing or fire damage. 
floating-oil	Floating Oil	Oil, uncommon Crafted by: Gas Spore Gas x1 vial (Alchemist) When this oil is rubbed into an item that weighs 20 pounds or less, that item becomes lighter than air for the next hour. It retains all of its other characteristics, but it automatically rises unless appropriate downward force is applied to it. If this oil is applied to an item that weighs more than 20 pounds, it takes no effect and the oil is wasted.
fomorian-crystal	Fomorian Crystal	Wondrous item, rare (requires attunement) Crafted by: Fomorian Eye x1 (Artificer) While holding this item, you may spend your action to force a creature you can see within 60 feet of you to make a DC 14 Charisma saving throw. On a failed save, that creature takes 6d8 psychic damage and is cursed with magical deformities. While deformed, the creature has its speed halved and has disadvantage on ability checks, saving throws, and attacks based on Strength or Dexterity. On a success, a creature only takes half damage and suffers no deformities. A transformed creature can repeat the saving throw whenever it finished a long rest, ending the effect on a success. Once used, this ability may not be used again until the next dawn. If this item goes 24 hours without its ability being used, it automatically attempts to use it on the nearest creature within range, including the holder. 
frostclaw-weapon	Frostclaw Weapon	Weapon (any weapon that deals slashing damage), uncommon, rare (+1) Crafted by: Yeti Claw x2 (uncommon), Abominable Yeti Claw x2 (rare) (Blacksmith) If you are using the rare version of this weapon, you gain a +1 bonus to all attack and damage rolls made with this weapon. When you hit with this weapon, you may choose to deal an extra 1d6 cold damage, or 2d6 cold damage if you are using the rare version of this weapon. Once you have used this ability once, it can’t be used again until the end of your next short rest.
frostbite-weapon	Frostbite Weapon	Weapon (any weapon that deals piercing damage), very rare (requires attunement) Crafted by: Ice Devil Mandible x2 (Blacksmith) You gain a +2 bonus to all attack and damage rolls made with this weapon. When you hit with this weapon, you may choose to deal an extra 3d6 cold damage and force the target creature to make a DC 15 Constitution saving throw. On a failed save, for the next minute the target’s speed is reduced by 10 feet, is unable to take reactions, and only be able to take either an action or a bonus action on its turn, but not both. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. Once this ability has been used once, it cannot be used again until the end of your next short rest. If you roll a 20 on attack roll with this weapon however, the ability may be used again at that time, regardless of if you used it recently or not.
frostbite-armour	Frostbite Armour	Armour (plate), very rare (requires attunement) Crafted by: Ice Devil Carapace x1 (Blacksmith) Frostbite Armour Armour (plate), very rare (requires attunement) Crafted by: Ice Devil Carapace x1 (Blacksmith) You gain a +1 bonus to AC and resistance to cold damage while wearing this armour. In addition, the first time in a turn that a creature within 5 feet hits you with a melee weapon attack while you are wearing this armour, they suffer 2d6 cold damage. 
gargoyle-wing-cloak	Gargoyle Wing Cloak	Wondrous item, uncommon Crafted by: Gargoyle Wing x2 (Artificer) This leather-like cloak is made from the transfigured remains of a gargoyle’s wings. When this cloak is placed on an inanimate object that is: made of stone, not fixed to anything, and no larger than 10 cubic feet in volume, the cloak transforms into a pair of gargoyle wings attached to that item for the next hour or until the item is destroyed. While attached to the wings in this way, that item gains both a flying speed of 60 feet, and a low level of sentience causing it to follow the creature that placed the cloak over it until the effect ends. The enchanted item takes the most direct path to that creature, avoiding obstacles and obviously dangerous terrain. At the end of the hour, the item attempts to return safely to the ground and the wings transform back into a cloak. Once this ability has been used once, it cannot be used again until the next dawn.
gem-of-teleportation	Gem of Teleportation	Wondrous item, rare (requires attunement) Crafted by: Yugoloth Heart x1 (Artificer) This gem has 5 charges. While holding this gem, you may spend your action and 1 charge in order to teleport yourself and any equipment you are wearing or carrying up to 60 feet to an unoccupied space you can see. This gem regains 1d4+1 charges at dawn. Alternatively, you may use 5 charges to cast the spell plane shift through the gem with the plane of Gehenna as your destination. If used in this way, the gem dissolves into a useless black ichor and is destroyed.
gem-of-the-underdark	Gem of the Underdark	Wondrous item, rare (requires attunement) Crafted by: Grick Pearl x1 (Artificer) This gem has 7 charges. While holding this item, you may spend your action in order to expend 1 or more charges to do any of the following: You may cast any of the following spells through the item, requiring no components: darkness (2 charges, plus 1 additional charge for every level cast above 2nd), spider climb (2 charges), pass without trace (2 charges) darkvision (2 charges). For the next hour, you cannot become lost while travelling in the Underdark. You have advantage on any Wisdom (Survival) check made to locate something in the Underdark (1 charge). For the next hour, you gain a tremorsense and darkvision out to a range of 60 feet (2 charges). You and up to 4 willing creatures within 30 feet of you, teleport to a random unoccupied location in the Underdark, if you were not already in the Underdark. If you are already in the Underdark, you may instead teleport to an unoccupied entrance to the Underdark that you have physically visited before (1 charge per creature teleported, including yourself).  This gem regains 1 charge for every 24 hours it spends in the Underdark, up to a maximum of 7 charges.
glutton-cutlery	Glutton Cutlery	Wondrous item, common Crafted by: Nalfeshnee Teeth x1 small pouch (Blacksmith) A set of ivory cutlery consisting of a fork, spoon, and knife. Any food eaten from these cutlery items does not satiate feelings of hunger, although it still provides nutrition, and the capacity of the eater’s stomach remains unchanged. This magical effect stops functioning if any of the cutlery pieces are more than 10 feet away from each other.
golem-companion	Golem Companion	Wondrous item, rare Crafted by: Manual Ashes x1 small pouch (Artificer) This 3-inch-tall statue is crafted from whichever material the golem its ashes were harvested from was made of. When the command word is spoken, the statue comes to life and considers whoever spoke the command word to be its master. It will follow any instruction given to it by its master until it is either destroyed or its master speaks its command word again, turning it back into an inanimate statue. While it is within 100 feet, the statue is capable of relaying information telepathically to its master. Additionally, as an action, its master can see through the statue’s eyes and hear what it hears until the start of its next turn. During this time the master is blind and deaf in regard to its own senses.The statue has 10 AC (regardless of material), 4 hit points, has a move speed of 15 feet, and makes perception checks with a +5 bonus.
grell-jerkin	Grell Jerkin	Armour (leather), uncommon (requires attunement) Crafted by: Grell Hide x1 (Leatherworker) While wearing this jerkin you become particularly sensitive to the vibrations and electrical currents around you. So long as you are blinded (including if you just have your eyes closed), you have a blindsight with a range of 60 feet. 
grick-hide-coat	Grick Hide Coat	Armour (studded leather), rarity varies Crafted by: Grick Hide x1 (uncommon), or Alpha Grick Hide x1 (rare) (Leatherworker) While wearing this armour, you have advantage on Dexterity (Stealth) checks made to hide in rocky terrain and on Strength (Athletics) checks made to climb rocky terrain. If this is the rare version of this armour, you also gain a +1 bonus to AC while wearing this item.
gut-rot	Gut Rot	Potion, common Crafted by: Violet Fungus Stalk x1 (Alchemist) When you drink this potion, you must succeed on a DC 10 Constitution saving throw or become afflicted with the disease gut rot. While afflicted with gut rot, any time you attempt to swallow food, you instead suffer 4 necrotic damage and regurgitate that food. At the end of a long rest, you may attempt the saving throw again, ending the disease on a success. If a creature dies while afflicted with gut rot, a violet fungus sprouts from the mouldering corpse, growing to full size in 2d6 days. 
hair-tonic	Hair Tonic	Oil, common Crafted by: Satyr Hair x1 small pouch (Alchemist) When you massage this tonic into a patch of skin for 1 minute, that patch of skin experiences extremely rapid hair growth, even if hair growth in that area is not usually possible. Each day for the next 7 days, roll 1d6. You grow that many inches in hair over the course of the day in that area.This bottle has enough hair tonic to cover 10 square feet of skin.
hand-of-undeath	Hand of Undeath	Wondrous item, uncommon Crafted by: Wight Hand x1 (Thaumaturge) You may place the heart of a humanoid that has died within the last 24 hours into this hand. The hand then squeezes tightly over this heart, which quickly decays and withers away over the course of 1 minute. Once the heart has fully withered away, you gain 5 temporary hit points that last until you finish your next long rest.
harpy-harp	Harpy Harp	Wondrous item, uncommon (requires attunement by a bard) Crafted by: Harpy Vocal Cords x1 (Tinker) While holding this item, if you cast a spell that forces a creature to make a saving throw or be inflicted with the charmed condition, that creature makes that saving throw at disadvantage. 
harpy-ink	Harpy Ink	Wondrous item, uncommon Crafted by: Harpy Egg x1 (Alchemist) This bright pink pot of ink is imbued with magical properties that charm those that read messages written in it. Once this ink is used to write a message, the ink changes to an ordinary black colour. The first creature that reads the message must succeed on a DC 10 Wisdom saving throw or become charmed for 24 hours. While charmed in this way, that creature wholeheartedly believes everything they read in that message, so long as the message is within the realm of plausibility. At the end of this 24 hours, the charm effect ends, and the creature realises it has been charmed. This pot contains enough ink to write 400 words. 
helm-of-abyssal-domination	Helm of Abyssal Domination	Wondrous item, legendary (requires attunement) Crafted by: Pit Fiend Head x1 (Thaumaturge) This helmet has 11 charges. While wearing this helm, you spend an action to expend 1 or more charges to do one of the following: You may cast the spell detect magic (1 charge) fireball (3 charges plus 1 additional charge for every level above 3rd) hold monster (5 charges plus 1 additional charge for every level above 5th) or wall of fire (4 charges plus 1 additional charge for every level above 4th). For the next minute, any creature hostile to you that starts its turn within 20 feet of you must make a DC 21 Wisdom saving throw, unless you are incapacitated. On a failed save, the creature is frightened until the start of its next turn. If a creature's saving throw is successful, the creature is immune to this ability for the next 24 hours (2 charges). For the next 10 minutes you gain truesight out to a range of 120 feet (1 charge). For the next hour you gain telepathy out to 120 feet and are able to both understand and speak Infernal (1 charge). For the next hour you gain resistance to cold, fire, and poison damage (2 charges). You may target a devil with a CR less than 20 that you can see within 60 feet of you. That devil must succeed on a DC 21 Wisdom saving throw or be charmed by you for 1 hour. While charmed by you, that devil must obey any command you give it that is not directly harmful to it. If a devil succeeds on the saving throw, it is immune to this ability for the next 24 hours (3 charges). This helmet regains 1d10 charges at dawn.
helm-of-hypnotism	Helm of Hypnotism	Wondrous item, very rare (requires attunement) Crafted by: Ultraloth Eye x2 (Blacksmith) While wearing this helmet, if you force a creature to roll a saving throw to resist being charmed by you, that creature makes that saving throw at disadvantage so long as it can see you. In addition, if you succeed on a saving throw to resist being charmed by a creature you can see, you may spend your reaction to impose an identical effect on that creature, as if you had used that spell or ability yourself.
helm-of-the-illithid	Helm of the Illithid	Wondrous item, rare (requires attunement) Crafted by: Mind Flayer Brain x1 (Artificer) While wearing this helmet, you have telepathy out to a range of 120 feet. In addition, you may spend an action to magically emit psychic energy in a 60-foot cone. Each creature in that area must succeed on a DC 15 Intelligence saving throw or take 4d8 psychic damage and be stunned for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. Once this ability has been used once, it cannot be used again until the next dawn.
helm-of-the-minotaur	Helm of the Minotaur	Wondrous item, uncommon Crafted by: Minotaur Horn x2 (Blacksmith) While wearing this helmet, if you move at least 10 feet straight towards a target in a turn and then make a successful shove attack, you may choose to deal 2d8 piercing damage to your target in addition to the shove attack’s regular results. 
helm-of-transmission	Helm of Transmission	Wondrous item, rare (requires attunement) Crafted by: Ettin Head x1 (Artificer) This helmet is paired with another helmet made from the other head of the ettin from which this helmet was crafted. While wearing this helmet, you are magically linked with any creature that is also wearing and attuned to the paired helmet, so long as both of you are on the same plane of existence. While linked in this way, you may communicate with that creature telepathically at any distance, and if you receive damage, you may spend your reaction to transfer any amount of that damage to the linked creature.
horn-of-the-ancients	Horn of the Ancients	Wondrous item, legendary (requires attunement) Crafted by: Androsphinx Vocal Cords x1 (Artificer) You may spend your action to blow this horn. If you do, a magical roar is emitted from the horn which can be heard from a distance of 300 feet. Each creature (except the blower of the horn) that can hear the horn is subjected to a certain effect. The effect of the horn changes depending on how many times the horn has been blown that day. Once this horn has been used 3 times in one day, it cannot be blown again for 7 days.First Blow Each creature that fails a DC 16 Wisdom saving throw is frightened for 1 minute. A frightened creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.Second Roar Each creature that fails a DC 16 Wisdom saving throw is deafened and frightened for 1 minute. A frightened creature is paralyzed and can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.Third Roar Each creature makes a DC 16 Constitution saving throw. On a failed save, a creature takes 8d10 thunder damage and is knocked prone. On a successful save, the creature takes half as much damage and isn't knocked prone.
horn-of-the-fiendish-voice	Horn of the Fiendish Voice	Wondrous item, common Crafted by: Glabrezu Horn x1 or Horned Devil Horn x1 (Tinker) When you speak into this horn, your voice becomes magically amplified to twice its volume and is changed to sound deeper and more intimidating. A creature that hears this voice may make a DC 10 Intelligence (Investigation) check to realise it is artificial.
infernal-wings	Infernal Wings	Wondrous item, rare (requires attunement) Crafted by: Devil Wings x2 (Leatherworker) A repurposed pair of wings harvested from a devil and inlaid with enchantments to make them suitable for mortal use. While they normally take the appearance of a black cloak with a crimson tinge, you speak their command word as an action to transform them into replicas of the wings of the devil they were harvested from and attach them to your back for 1 hour or until you repeat the command word as an action. In this form, they give you a flying speed of 60 feet. In addition, if you are subject to an effect that would cause you to suffer fire damage, you may instead spend your reaction to wrap your wings around yourself and become immune to fire damage and lose the flying speed granted by this item until the start of your next turn. Once the wings have disappeared, they may not be activated again until the next dawn.
instrument-of-harmony	Instrument of Harmony	Wondrous item, rare (requires attunement by a character with proficiency in at least one stringed instrument) Crafted by: Unicorn Hair x1 large pouch (Tinker) The notes played on an instrument strung with unicorn hair are reminiscent of the sound of wind whistling through the branches of an ancient forest. You can use an action to play this instrument in a performance that lasts until the start of your next turn. During that time, any friendly creature who can hear your performance may reroll any 1s or 2s rolled when they recover hit points in any way. Creatures that do so must use the new result, even if it is a 1 or a 2. 
kraken-bolt	Kraken Bolt	Weapon (ballista bolt), very rare Crafted by: Kraken Tooth x1 (Blacksmith) This several-foot-long bolt is designed to be loaded and fired from a ballista, usually one mounted on board a naval ship. An attack made with this bolt has a +10 to hit, range 120/480 ft., deals 6d10 piercing damage upon a successful hit, and ignores any damage threshold of their target. If the attack is being made against an object or structure, this attack deals 12d10 piercing damage instead. Unlike most ballista bolts, kraken bolts may be used again after being shot, so long as they can be retrieved successfully. 
kraken-paint	Kraken Paint	Wondrous item, very rare Crafted by: Kraken Ink x2 vials (Alchemist) A pot of this black paint is enough to cover up to 100 square feet of material. An enclosed space that has had its interior surface covered entirely in kraken paint acts as it were permanently under the effect of the darkness spell. You may also spill the entire pot of paint into a body of water as an action to create a 60-foot radius cloud that spreads around corners. This area is considered heavily obscured and each creature that ends its turn there must succeed on a DC 23 Constitution saving throw, taking 3d10 poison damage on a failed save, or half as much damage on a successful one. A strong current disperses the cloud, which otherwise disappears at the end of your next turn.
kraken-shield	Kraken Shield	Armour (shield), legendary (requires attunement) Crafted by: Kraken Scale x1 (Blacksmith) While wearing this shield, you gain a +3 bonus to your AC. While wearing this shield, you are immune to lightning damage, and if you are subjected to an effect that would cause you to suffer lightning damage, you may spend your reaction to choose another target you can see within 30 feet of you (including the source of the effect). You redirect the effect towards that target. That target acts as if it was the initial target of the effect and suffers any results as appropriate. 
kraken-tunic	Kraken Tunic	Armour (studded leather), legendary (requires attunement) Crafted by: Kraken Hide x1 (Leatherworker) While wearing this armour, you gain a +3 bonus to your AC. In addition, you gain the following benefits: You gain a swim speed equal to your move speed, are capable of breathing underwater, and are unaffected by water pressure while diving. You ignore difficult terrain, and magical effects can’t reduce your speed or cause you to be restrained. You can spend 5 feet of movement to escape from nonmagical restraints or from being grappled. 
lenses-of-secrets	Lenses of Secrets	Wondrous item, rare (requires attunement) Crafted by: Gynosphinx Eye x2 (Artificer) While wearing these lenses, you gain truesight out to 60 ft., and you may cast the spell detect magic at will without expending a spell slot and without any components. In addition, you may spend an action to cast the spell detect thoughts at will once per long rest. 
lenses-of-the-oasis	Lenses of the Oasis	Wondrous item, rare (requires attunment) Crafted by: Lamia Eye x2 (Artificer) While wearing these lenses, you may cast the spells disguise self and minor illusion at will without requiring spell components. 
lens-of-forgotten-history	Lens of Forgotten History	Wondrous item, very rare Crafted by: Aboleth Eye x1 (Artificer) While wearing these lenses, you may use this item to cast the spell legend lore without requiring the use of any components or spell slots. When casting the spell in this way, you must be able to see the person, place, or object that you are targeting with the spell. Once you have used this item once, it cannot be used again until the next dawn.
lens-of-insight	Lens of Insight	Wondrous item, uncommon Crafted by: Nothic Eye x1 (Artificer) While wearing this lens, you may target one creature you can see within 30 feet of you. You make a Wisdom (Insight) check contested against the target’s Charisma (Deception). If you win, you magically learn one fact or secret about the target. The target automatically wins if it is immune to being charmed. Once this ability has been used once, it cannot be used again until the next dawn.
lesser-eye-stalk-wand	Lesser Eye Stalk Wand	Wand, uncommon Crafted by: Spectator Eye Stalk x2 (Artificer) This wand has 5 charges. While holding this wand, you may spend an action and 1 charge to shoot a magical ray of energy at a target within 90 feet of you. The type of ray depends on the type of spectator eye stalk that the wand was crafted from. Consult the list below to find out what your wand does. When the last charge of this wand is used, it crumbles into dust and is destroyed.
lich-censer	Lich Censer	Wondrous item, very rare Crafted by: Lich Dust x1 (Thaumaturge) This censer has an innate connection with the lich from whom it was crafted. When held by a creature, faint wisps of smoke will emerge and blow in the direction of that lich if that lich is still animate and on the same plane of existence as the holder. The intensity and thickness of the smoke will increase as proximity to the lich decreases. A creature holding this item may also spend 10 minutes focusing on it, after which, a wisp of smoke will emerge and blow in the direction of the lich’s phylactery if it is on the same plane of existence as the censer. Once this ability has been used once, it cannot be used again until the next dawn. 
lightning-oil	Lightning Oil	Oil, very rare Crafted by: Lightning Sack x1 (Alchemist) A line of lightning constantly crackles through this bottle of cloudy grey liquid. A dose of this oil can coat one slashing or piercing weapon or up to 5 pieces of slashing or piercing ammunition. Applying the oil takes 1 minute. For 1 hour, the coated item is magical and deals an extra 1d8 lightning damage on a successful hit. This bottle has enough liquid in it for 3 doses.
living-chalk	Living Chalk	Wondrous item, common Crafted by: Enchanted Pumice x1 (Alchemist) Images drawn by this chalk are capable of small amounts of movement on their drawing surface, resembling a basic flipbook animation. These images tend to act in a manner imagined by the creature that drew them but are otherwise unaware of their surroundings and cannot move more than 1 foot beyond their original placement. These drawings lose their enchantment and freeze into place 10 minutes after being drawn.
living-dentures	Living Dentures	Wondrous item, common Crafted by: Gibbering Mouther Teeth x1 small pouch (Tinker) This set of dentures automatically adapts itself to fit inside the mouth of any Medium or smaller creature that attempts to insert it. These dentures automatically fill in any missing teeth of that creature. If you have these dentures inserted, you may spend an action to concentrate on them to give them the appearance of other teeth such as buck teeth or fangs, but no matter what form they take, these dentures are no stronger than human teeth.When left outside, these teeth chatter loudly for a few seconds every 1d4 hours. 
